,precision,recall,f1-score,support
Esca,0.9751243781094527,0.9468599033816425,0.9607843137254902,207.0
Huanglongbing (enverdecimiento de los cítricos),0.9784688995215312,0.9903147699757869,0.9843561973525873,826.0
Mancha bacteriana,0.8842975206611571,0.9212792127921279,0.9024096385542169,813.0
Mancha diana,0.6595744680851063,0.8815165876777251,0.7545638945233266,211.0
Mancha foliar por cercospora / mancha foliar gris,0.6666666666666666,0.8311688311688312,0.7398843930635838,77.0
Mancha foliar por septoria,0.8279569892473119,0.868421052631579,0.8477064220183487,266.0
Moho de la hoja,0.7987421383647799,0.8881118881118881,0.8410596026490066,143.0
Oídio,0.9701492537313433,0.9006928406466512,0.9341317365269461,433.0
Podredumbre negra,0.8469055374592834,0.9629629629629629,0.901213171577123,270.0
Quemadura de la hoja,0.9877300613496932,0.9698795180722891,0.9787234042553191,166.0
Roya común,0.9830508474576272,0.9720670391061452,0.9775280898876404,179.0
Roya del manzano y cedro,0.8723404255319149,1.0,0.9318181818181818,41.0
Sano,0.975187265917603,0.9204595669465312,0.9470334166856104,2263.0
Sarna,0.6564885496183206,0.9052631578947369,0.7610619469026548,95.0
Tizón de la hoja,0.9754601226993865,0.9875776397515528,0.9814814814814815,161.0
Tizón foliar del norte,0.8714285714285714,0.8243243243243243,0.8472222222222222,148.0
Tizón tardío,0.9115479115479116,0.8509174311926605,0.8801897983392646,436.0
Tizón temprano,0.8304498269896193,0.8,0.8149405772495756,300.0
Virus del mosaico,0.684931506849315,0.8928571428571429,0.7751937984496124,56.0
Virus del rizado amarillo de la hoja,0.9797211660329531,0.9614427860696517,0.970495919648462,804.0
Ácaros araña de dos manchas,0.9414414414414415,0.8326693227091634,0.8837209302325582,251.0
accuracy,0.919469678369752,0.919469678369752,0.919469678369752,0.919469678369752
macro avg,0.8703649308909993,0.9099421894415899,0.8864532922458673,8146.0
weighted avg,0.9259211721606422,0.919469678369752,0.9211410804824708,8146.0
